QTYPE,group0
bf16,0%
iq1_bn,+64.55%
iq1_kt,+64.65%
iq1_m,+64.50%
iq1_m_r4,+61.71%
iq2_bn,+68.61%
iq2_bn_r4,-88.12%
iq2_k,+64.25%
iq2_k_r4,+63.54%
iq2_kl,+57.09%
iq2_ks,+62.42%
iq2_kt,+65.29%
iq3_k,+59.08%
iq3_k_r4,+55.91%
iq3_ks,+57.85%
iq3_kt,+56.06%
iq3_s,+57.53%
iq3_s_r4,-93.28%
iq3_xxs,+61.65%
iq3_xxs_r4,-92.35%
iq4_k,+53.09%
iq4_k_r4,+47.23%
iq4_ks,+56.49%
iq4_ks_r4,+48.63%
iq4_kss,+58.06%
iq4_kt,+55.81%
iq4_nl,+55.66%
iq4_nl_r4,-93.61%
iq4_xs,+56.45%
iq4_xs_r8,-93.36%
iq5_k,+47.84%
iq5_k_r4,+44.33%
iq5_ks,+49.07%
iq5_ks_r4,+46.00%
iq6_k,+43.41%
q2_K,+59.13%
q2_k_r4,-90.75%
q3_K,+50.05%
q3_k_r4,-92.39%
q4_0,+55.76%
q4_0_r8,-93.34%
q4_1,+53.93%
q4_K,+51.39%
q4_k_r4,-93.51%
q5_0,+50.36%
q5_0_r4,-94.44%
q5_1,+48.08%
q5_K,+47.17%
q5_k_r4,-94.42%
q6_0,+46.18%
q6_0_r4,-95.20%
q6_K,+40.51%
q6_k_r4,-95.27%
q8_0,+36.88%
q8_0_r8,-96.14%
q8_k_r8,-96.01%
