QTYPE,group0
bf16,+0%
iq1_kt,+58.103%
iq2_bn_r4,+100%
iq2_k,+36.99%
iq2_k_r4,+36.99%
iq2_kl,+32.229%
iq2_ks,+43.432%
iq2_kt,+40.629%
iq3_k,+18.944%
iq3_k_r4,+18.944%
iq3_ks,+18.882%
iq3_kt,+19.985%
iq3_s,+19.641%
iq3_s_r4,+19.647%
iq3_xxs,+23.812%
iq3_xxs_r4,+23.873%
iq4_k,+8.916%
iq4_k_r4,+8.916%
iq4_ks,+10.567%
iq4_ks_r4,+10.567%
iq4_kss,+13.122%
iq4_kt,+12.401%
iq4_nl,+10.98%
iq4_nl_r4,+10.963%
iq4_xs,+10.537%
iq4_xs_r8,+10.66%
iq5_k,+4.675%
iq5_k_r4,+4.675%
iq5_ks,+5.453%
iq5_ks_r4,+5.453%
iq6_k,+2.687%
q2_K,+38.149%
q2_k_r4,+38.184%
q3_K,+22.152%
q3_k_r4,+22.19%
q4_0,+11.583%
q4_0_r8,+11.577%
q4_1,+10.855%
q4_K,+9.445%
q4_k_r4,+9.382%
q5_0,+6.195%
q5_0_r4,+6.154%
q5_1,+5.829%
q5_K,+5.747%
q5_k_r4,+5.781%
q6_0,+3.157%
q6_0_r4,+3.162%
q6_K,+3.014%
q6_k_r4,+3.445%
q8_0,+1.95%
q8_0_r8,+1.972%
q8_k_r8,+2.301%
q8_KV,+8.951%
